Site,ID number,Species,Number of scars,Length,Proximal width,Medial width,Distal width,Thickness at medial,Platform width,Platform thickness
MDF-61,936,Sapiens,6,47.76,39.9,37.47,33.97,4.82,27.27,4.98
MDF-61,940,Sapiens,5,39.73,32.11,38.26,31.22,7.1,21.48,5.36
MDF-61,941,Sapiens,9,52.64,48.62,59.08,54.65,12.09,42.47,10.43
MDF-61,942,Sapiens,5,47.74,22.15,41.79,36.15,7.81,19.53,7.76
MDF-61,952,Sapiens,9,72.09,62.43,55.97,46.71,11.5,38.29,10.96
MDF-61,955,Sapiens,8,54.57,47.28,47.11,47.42,9.31,38.03,12.22
MDF-61,959,Sapiens,6,50.11,27.41,47.51,41.19,11.18,30.01,7.54
MDF-61,966,Sapiens,5,44.56,18.75,32.53,27.93,5.67,17.15,5.22
MDF-61,968,Sapiens,7,58.61,27.86,38.68,34.7,8.23,12.62,5.79
MDF-61,969,Sapiens,8,48.67,33.08,43.93,44.67,9.16,21.18,7.05
MDF-61,972,Sapiens,5,45.03,22.83,40.99,31.23,7.4,20.99,7.67
MDF-61,976,Sapiens,4,49.39,45.64,53.76,49.04,13.86,37.19,11.6
MDF-61,984,Sapiens,8,53.9,26.99,41.62,15.09,13.04,25.55,11.99
MDF-61,985,Sapiens,4,53.31,37.56,34.27,11.32,10.29,30.37,12.83
MDF-61,986,Sapiens,7,55.18,30.29,43.81,43.32,8.58,21.94,5.73
MDF-61,1009,Sapiens,2,24.7,22.51,28.17,23.3,6.9,21.93,10.47
MDF-61,1027,Sapiens,5,25.07,25.18,24.48,16.76,6.99,23.25,7.24
MDF-61,1035,Sapiens,7,49.59,32.53,47.12,42.68,12,33.41,13.08
MDF-61,1205,Sapiens,6,58.14,40.92,55.68,53.06,7.15,22.97,4.48
MDF-61,1207,Sapiens,7,62.07,44.64,51.86,57.19,11.13,29.42,6.52
MDF-61,1208,Sapiens,6,47.54,24.98,33.4,29.7,8.08,20.73,7.94
MDF-61,1211,Sapiens,5,58.38,31.35,41.02,31.05,8.11,25.66,8.88
MDF-61,1216,Sapiens,6,54.38,38.93,50.45,45.63,11.59,37.44,11.42
MDF-61,1219,Sapiens,6,55.16,35.48,39.75,32.82,8.46,34.69,34.69
MDF-61,1220,Sapiens,5,56.62,36.79,39.04,17.07,8.51,33.12,7.67
MDF-61,1221,Sapiens,5,83.39,39.01,59.3,41.35,10.23,32.75,13.53
MDF-61,1225,Sapiens,5,63.08,34.84,47.14,44.84,6.21,30.14,10.38
MDF-61,1227,Sapiens,5,63.23,43.32,58.51,49.48,11.54,42.75,11.83
MDF-61,1230,Sapiens,11,65.17,28.07,33.11,30.47,7.68,24.24,10.43
MDF-61,1231,Sapiens,5,58.18,31.97,43.07,22.73,10.63,20.24,9.25
MDF-61,1232,Sapiens,6,60.77,43.25,37.61,8.56,8.66,31.11,9.54
MDF-61,1233,Sapiens,7,76.49,35.44,33.47,15.68,7.73,19.58,5.4
MDF-61,1236,Sapiens,7,64.32,34.86,41.58,33.91,6.65,31.84,8.65
MDF-61,1237,Sapiens,7,50.65,35.28,46.96,45.56,6.67,36.68,12.51
MDF-61,1243,Sapiens,6,64.66,33.63,51.38,41.7,10.66,28.18,7.43
MDF-61,1252,Sapiens,7,63.21,27.15,37.22,4.68,8.42,23.73,10.47
MDF-61,1254,Sapiens,8,78.87,36.41,57.85,36.92,12.06,21.53,9.52
MDF-61,1255,Sapiens,7,51.66,22.67,48.99,29.65,7.96,20.04,10.22
MDF-61,1256,Sapiens,6,61.51,32.43,47.99,33.78,10.16,30.39,11.36
MDF-61,1258,Sapiens,6,51.42,30.53,33.77,32.29,8.17,17.83,7.3
MDF-61,1260,Sapiens,6,50.22,26.99,36.49,29.29,5.71,24.65,11.6
