Site,ID number,Number of scars,Length,Proximal width,Medial width,Distal width,Thickness at medial,Platform width,Platform thickness,Weight,,,
MDF-61,1208.00,6.00,47.54,24.98,33.40,29.70,8.08,20.73,7.94,20.10,,,
MDF-61,1211.00,5.00,58.38,31.35,41.02,31.05,8.11,25.66,8.88,26.70,,,
MDF-61,1216.00,6.00,54.38,38.93,50.45,45.63,11.59,37.44,11.42,37.60,,,
MDF-61,1219.00,6.00,55.16,35.48,39.75,32.82,8.46,34.69,34.69,27.60,,,
MDF-61,1220.00,5.00,56.62,36.79,39.04,17.07,8.51,33.12,7.67,20.70,,,
MDF-61,1221.00,5.00,83.39,39.01,59.30,41.35,10.23,32.75,13.53,52.40,,,
MDF-61,1225.00,5.00,63.08,34.84,47.14,44.84,6.21,30.14,10.38,25.90,,,
MDF-61,1227.00,5.00,63.23,43.32,58.51,49.48,11.54,42.75,11.83,64.20,,,
MDF-61,1230.00,11.00,65.17,28.07,33.11,30.47,7.68,24.24,10.43,23.50,,,
MDF-61,1231.00,5.00,58.18,31.97,43.07,22.73,10.63,20.24,9.25,33.70,,,
MDF-61,1232.00,6.00,60.77,43.25,37.61,8.56,8.66,31.11,9.54,24.90,,,
MDF-61,1233.00,7.00,76.49,35.44,33.47,15.68,7.73,19.58,5.40,23.10,,,
MDF-61,1236.00,7.00,64.32,34.86,41.58,33.91,6.65,31.84,8.65,24.80,,,
MDF-61,1237.00,7.00,50.65,35.28,46.96,45.56,6.67,36.68,12.51,21.30,,,
MDF-61,1243.00,6.00,64.66,33.63,51.38,41.70,10.66,28.18,7.43,40.10,,,
MDF-61,1252.00,7.00,63.21,27.15,37.22,4.68,8.42,23.73,10.47,24.90,,,
MDF-61,1254.00,8.00,78.87,36.41,57.85,36.92,12.06,21.53,9.52,47.30,,,
MDF-61,1255.00,7.00,51.66,22.67,48.99,29.65,7.96,20.04,10.22,24.10,,,
MDF-61,1256.00,6.00,61.51,32.43,47.99,33.78,10.16,30.39,11.36,36.90,,,
MDF-61,1258.00,6.00,51.42,30.53,33.77,32.29,8.17,17.83,7.30,22.40,,,
MDF-61,1260.00,6.00,50.22,26.99,36.49,29.29,5.71,24.65,11.60,16.50,,,
MDF-61,1263.00,9.00,55.75,34.95,36.26,29.40,6.69,31.07,10.81,20.00,,,
MDF-61,1267.00,8.00,58.68,35.66,47.24,38.51,7.57,32.66,9.65,28.60,,,
MDF-61,1271.00,8.00,55.80,46.06,49.23,48.02,7.86,31.23,6.37,27.60,,,
MDF-61,1275.00,7.00,51.51,26.66,38.54,28.65,7.77,18.09,5.44,15.10,,,
MDF-61,1280.00,6.00,48.38,47.56,56.65,51.29,12.60,40.20,14.18,42.70,,,
MDF-61,1503.00,5.00,62.09,34.33,45.56,29.73,8.82,27.19,9.45,25.50,,,
MDF-61,1554.00,6.00,32.49,31.61,41.89,42.43,5.14,27.99,6.50,9.70,,,
MDF-61,1568.00,6.00,31.34,25.96,32.57,32.67,7.10,18.97,4.52,8.50,,,
JKF-1,209.00,7.00,100.45,29.01,30.20,4.63,9.21,25.84,12.57,56.40,,,
JKF-1,27.00,4.00,67.24,39.30,38.92,26.49,8.52,33.98,15.86,36.70,,,
JKF-1,34.00,3.00,48.39,28.84,30.03,14.38,5.25,25.18,6.45,14.70,,,
JKF-1,42.00,4.00,41.10,37.08,25.74,4.96,9.60,20.08,11.03,15.50,,,
